founded_year,status,total_funding,average_funding,total_rounds,num_companies,avg_funding_per_round_agg,avg_funding_per_year_existence_agg
1960,acquired,15500000.0,15500000.0,1,1,15500000.0,234848.48484848486
1960,closed,0.0,,0,0,,
1960,operating,18337899.0,4584474.75,4,4,4584474.75,69461.73863636363
1961,acquired,0.0,,0,0,,
1961,closed,0.0,,0,0,,
1961,operating,33799625.0,11266541.666666666,6,3,4713836.805555556,173331.41025641025
1962,acquired,0.0,,0,0,,
1962,closed,0.0,,0,0,,
1962,operating,9000000.0,9000000.0,1,1,9000000.0,140625.0
1963,acquired,1610000.0,1610000.0,1,1,1610000.0,25555.555555555555
1963,closed,0.0,,0,0,,
1963,operating,16849812.5,8424906.25,2,2,8424906.25,133728.67063492062
1964,acquired,0.0,,0,0,,
1964,closed,4500000.0,4500000.0,1,1,4500000.0,72580.64516129032
1964,operating,8300000.0,1660000.0,5,5,1660000.0,26774.1935483871
1965,acquired,0.0,,0,0,,
1965,closed,0.0,,0,0,,
1965,operating,1300000.0,1300000.0,1,1,1300000.0,21311.475409836065
1966,acquired,0.0,,0,0,,
1966,closed,0.0,,0,0,,
1966,operating,34414812.5,4916401.785714285,7,7,4916401.785714285,81940.02976190475
1967,acquired,16849812.5,16849812.5,1,1,16849812.5,285590.0423728814
1967,closed,6000000.0,6000000.0,1,1,6000000.0,101694.91525423729
1967,operating,29295781.0,4882630.166666667,11,6,2482598.9444444445,82756.44350282486
1968,acquired,7500000.0,7500000.0,1,1,7500000.0,129310.3448275862
1968,closed,0.0,,0,0,,
1968,operating,46064625.0,9212925.0,6,5,8300425.0,158843.53448275864
1969,acquired,0.0,0.0,1,1,0.0,0.0
1969,closed,1490000.0,1490000.0,1,1,1490000.0,26140.35087719298
1969,operating,58489625.0,7311203.125,8,8,7311203.125,128266.72149122808
1970,acquired,0.0,0.0,1,1,0.0,0.0
1970,closed,0.0,,0,0,,
1970,operating,20350002.0,2907143.1428571427,8,7,2192857.285714286,51913.27040816326
1971,acquired,16849812.5,8424906.25,2,2,8424906.25,153180.11363636365
1971,closed,0.0,,0,0,,
1971,operating,34549625.0,8637406.25,4,4,8637406.25,157043.75
1972,acquired,0.0,0.0,1,1,0.0,0.0
1972,closed,5267500.0,2633750.0,2,2,2633750.0,48773.14814814815
1972,operating,58013350.5,5801335.05,12,10,5095049.35,107432.13055555554
1973,acquired,0.0,,0,0,,
1973,closed,0.0,,0,0,,
1973,operating,108315316.5,6017517.583333333,26,18,4616416.310185185,113538.06761006289
1974,acquired,16849812.5,16849812.5,1,1,16849812.5,324034.85576923075
1974,closed,0.0,,0,0,,
1974,operating,55511741.0,6167971.222222222,10,9,6133722.833333333,118614.83119658119
1975,acquired,0.0,0.0,1,1,0.0,0.0
1975,closed,0.0,,0,0,,
1975,operating,37514812.5,4689351.5625,13,8,3004370.3125,91948.06985294117
1976,acquired,0.0,,0,0,,
1976,closed,0.0,,0,0,,
1976,operating,129800569.0,9984659.153846154,13,13,9984659.153846154,199693.18307692307
1977,acquired,0.0,,0,0,,
1977,closed,0.0,,0,0,,
